locations,pu_lon,pu_lat,pu_borough,pu_zone
378802,-73.78652986349012,40.64698510024821,Queens,JFK Airport
327574,-73.97769803041939,40.758027981780664,Manhattan,Midtown Center
280594,-73.96563472764679,40.76861505664575,Manhattan,Upper East Side South
243402,-73.97235615813489,40.756687537617346,Manhattan,Midtown East
243033,-73.873628438902,40.774375816732636,Queens,LaGuardia Airport
236143,-73.99243754419264,40.74849716576957,Manhattan,Penn Station/Madison Sq West
225632,-73.95701192571859,40.78043629001211,Manhattan,Upper East Side North
219031,-73.98419655675737,40.759817566309465,Manhattan,Times Sq/Theatre District
207449,-73.97849158432054,40.74774573203895,Manhattan,Murray Hill
186351,-73.98153235360773,40.773633196128905,Manhattan,Lincoln Square East