drop_off_hour,avg
5,20.7481274339605
0,19.96044141597449
4,19.676862720971243
16,19.57109287191324
23,19.557709785864187
15,19.375654414622257
6,19.292133246527776
14,19.18342840409957
17,19.131676662421025
1,18.92267820649256
13,18.781303799925176
22,18.738674279680872
21,18.596584458559743
12,18.518428610149087
20,18.47461358621339
11,18.387243078057004
18,18.339032521701085
10,18.282569057075268
7,18.25388600182189
3,18.190919640118597
2,18.165881359417217
9,18.107028335182
8,18.063807921684532
19,17.91323856291784